document_id,email_domain
document_id,email_address
02901,iCloud.com
09789,theor.jinr.ru
09789,mi.ras.ru
05171,i1.org
05171,i2.org
06029,outlook.com.au
06754,gmail.com
06754,gmail.com
00961,gmail.com
09905,nano.cnr.it
09905,unimore.it
04941,gmail.com
00034,Roma1.infn.it
00926,gmail.com
00926,i2r.a-star.edu.sg
00926,gmail.com
00926,cvte.com
06165,1.8em
05697,gmail.com
03468,texnology.com
03468,ametsoc.org
03468,ametsoc.org
05021,imag.com
05021,fictional.edu
05021,fictional.edu
04944,ras.org.uk
04944,ras.org.uk
05158,gmail.com
01755,neel.cnrs.fr
01755,neel.cnrs.fr
03207,gmail.com
03207,ipb.ac.rs
02508,gmail.com
06627,gmail.com
06632,gmail.com
08879,inl.int
01385,icn.re.kr
01385,icn.re.kr
07920,astro.cf.ac.uk
09984,thesimpsons.com
04808,cqu.edc.cn
04808,htu.edu.cn
09150,temp.tex
03945,galaxy.far.far.away
03945,aas.org
04310,gmail.com
05075,tamu.com
08859,yahoo.fr
08681,bjtu.edu.cn
08681,bjtu.edu.cn
10197,rl.ac.uk
10197,rl.ac.uk
02347,kit.edu
01057,jh-inst.cas.cz
01057,jh-inst.cas.cz
01057,wigner.mta.hu
01057,fkf.mpg.de
01057,jh-inst.cas.cz
10025,faculty.chiba-u.jp
06647,cs.cas.cz
06647,ub.edu
06819,thesimpsons.com
05818,gmail.com
05818,gmail.com
05818,gmail.com
07565,163.com
09548,impan.pl
04326,arm.com
04326,arm.com
04326,arm.com
06517,gmail.com
00904,allenai.org
03077,nao.cas.cn
03077,nao.cas.cn
05370,gmail.com
07320,jpl.nasa.gov
09910,itep.ru
01311,oato.inaf.it
00512,elsevier.com
00278,pu.ac.in
07918,yandex.ru
07918,yandex.ru
05650,gmail.com
07229,acm.org
07229,acm.org
06526,gmail.com
06526,gmail.com
06526,gmail.com
00611,teleport.com
00611,aps.org
04945,sciops.esa.int
04945,niser.ac.in
01121,bah.com
04727,gmail.com
03380,psi.ch
03560,cern.ch
03560,cern.ch
05115,address.edu
06686,imj-prg.fr
04091,foo.com
07412,is.naist.jp
07412,is.naist.jp
06473,irstea.fr
00093,iacs.res.in
09053,apcs.vn
09053,apcs.vn
09053,fit.hcmus.edu.vn
06692,yandex.ru
06377,gate.sinica.edu.tw
04882,mytum.de
09756,reading.ac.uk
09756,gmail.com
05023,cern.ch
03265,sample.com
03265,sample.com
03265,sample.com
03265,sample.com
03265,sample.com
03906,flatironinstitute.org
